,country,id,lat,lng,name,clouds,date,humidity,pressure,temp,temp_max,temp_min,wind_deg,wind_speed
123,GD,3580372,12.05,-61.683331,Champs Fleurs,88,2017-11-19 03:00:00,99,1021.72,27.76,28.05,27.76,102.001,7.32
124,CU,3556969,20.88722,-76.263062,Holguin,76,2017-11-19 03:00:00,78,1017.67,23.87,25.87,23.87,77.0011,5.17
125,GF,3380386,4.0,-53.75,Arrondissement de Saint-Laurent-du-Maroni,48,2017-11-19 03:00:00,85,1009.56,24.77,24.77,24.77,77.5011,1.62
126,YT,1090415,-12.93194,45.148331,Chirongui,68,2017-11-19 03:00:00,100,1026.18,23.88,24.92,23.88,78.0011,3.87
127,CN,1281659,39.066669,90.083328,Baxkorgan,0,2017-11-19 03:00:00,66,739.79,-11.58,-11.58,-11.58,176.501,1.67
128,CC,7304591,-12.15681,96.82251,West Island,76,2017-11-19 03:00:00,100,1025.13,27.03,27.03,26.52,123.501,4.57
129,SO,53707,7.0,48.0,Gobolka Mudug,0,2017-11-19 03:00:00,65,988.16,19.65,19.65,19.65,40.0011,5.47
130,SO,58802,3.0,42.0,Gobolka Gedo,0,2017-11-19 03:00:00,70,979.57,16.05,16.05,16.05,80.5011,1.42
131,US,5813521,46.916489,-122.817909,Thurston County,24,2017-11-19 03:00:00,91,1013.78,4.12,4.12,4.02,174.501,1.82
132,US,5024544,45.933289,-95.450317,Douglas County,0,2017-11-19 03:00:00,71,980.78,-9.27,-9.27,-10.86,312.001,6.47
133,BF,2358700,12.0,-0.16667,Province du Kouritenga,24,2017-11-19 03:00:00,70,987.43,22.15,22.15,22.15,135.001,1.22
134,BI,423328,-3.94877,29.62438,Bururi,64,2017-11-19 03:00:00,100,911.4,21.55,21.55,21.55,59.0011,3.22
135,BJ,2392505,9.94009,3.21075,Nikki,8,2017-11-19 03:00:00,63,982.49,21.67,21.67,21.67,221.001,2.92
136,BO,3910291,-17.94101,-65.340157,Mizque,92,2017-11-19 03:00:00,95,757.63,12.45,12.45,12.45,99.5011,1.22
137,BR,3391360,-0.05833,-51.181671,Santana,0,2017-11-19 03:00:00,86,1022.86,25.71,26.67,25.71,62.5011,4.92
138,BR,3924877,-13.08333,-62.26667,Posto Fiscal Rolim de Moura,12,2017-11-19 03:00:00,91,999.02,24.2,24.2,24.2,70.0011,0.77
139,CD,2311127,-4.98333,12.93333,Tshela,88,2017-11-19 03:00:00,89,976.41,20.4,20.4,20.4,249.501,1.22
140,CF,240396,5.0,21.5,Préfecture de la Basse-Kotto,92,2017-11-19 03:00:00,98,963.44,20.92,20.92,20.92,162.001,1.02
141,CF,238640,7.0,23.0,Préfecture de la Haute-Kotto,12,2017-11-19 03:00:00,95,952.09,18.7,18.7,18.7,33.0011,1.52
